/real_pose/header/stamp/sec,/real_pose/header/stamp/nanosec,/real_pose/pose/position/x,/real_pose/pose/position/y,/real_pose/pose/position/z,/real_pose/pose/orientation/x,/real_pose/pose/orientation/y,/real_pose/pose/orientation/z,/real_pose/pose/orientation/w,/real_pose/header/frame_id,
1.73244e+09,5.34693e+08,2.07049,1.74245,1.93846e-06,-1.06743e-05,-0.00122459,-0.00770055,0.99997,world,
1.73244e+09,6.33801e+08,2.07739,1.74249,1.83353e-06,-1.96728e-05,-0.0012796,-0.0143864,0.999896,world,
1.73244e+09,7.33942e+08,2.08126,1.74247,-3.29533e-06,-2.69833e-05,-0.00125363,-0.0181019,0.999835,world,
1.73244e+09,8.3448e+08,2.08429,1.74244,1.45328e-06,-2.86748e-05,-0.00128441,-0.0210522,0.999778,world,
1.73244e+09,9.33891e+08,2.09139,1.74228,1.99328e-06,-3.56371e-05,-0.00123074,-0.0278974,0.99961,world,
1.73244e+09,3.40647e+07,2.09328,1.74223,1.87438e-06,-3.93453e-05,-0.00128035,-0.0297409,0.999557,world,
1.73244e+09,1.34562e+08,2.0984,1.74204,-3.5255e-06,-5.28345e-05,-0.00127209,-0.0346814,0.999398,world,
1.73244e+09,2.33914e+08,2.10487,1.74172,-2.7098e-06,-4.69217e-05,-0.00123601,-0.0409447,0.999161,world,
1.73244e+09,3.34938e+08,2.10571,1.74168,-2.72075e-06,-4.82576e-05,-0.00127477,-0.0417545,0.999127,world,
1.73244e+09,4.34264e+08,2.1127,1.74124,1.93581e-06,-5.86188e-05,-0.00118174,-0.0485009,0.998822,world,
1.73244e+09,5.33738e+08,2.11561,1.74102,2.13389e-06,-6.31339e-05,-0.0012055,-0.0513089,0.998682,world,
1.73244e+09,6.34565e+08,2.11989,1.74068,-2.7135e-06,-6.79344e-05,-0.00126553,-0.0554594,0.99846,world,
1.73244e+09,7.34469e+08,2.12635,1.7401,-3.1965e-06,-8.23085e-05,-0.00126928,-0.0617004,0.998094,world,
1.73244e+09,8.34182e+08,2.12676,1.74006,-2.75822e-06,-8.03481e-05,-0.00122686,-0.0620823,0.99807,world,
1.73244e+09,9.34449e+08,2.13404,1.7393,-2.38404e-06,-8.2962e-05,-0.00121857,-0.0691276,0.997607,world,
1.73244e+09,3.39585e+07,2.13747,1.7389,2.07345e-06,-8.73594e-05,-0.00118553,-0.0724605,0.997371,world,
1.73244e+09,1.34835e+08,2.1411,1.73846,-2.80059e-06,-9.13854e-05,-0.00119394,-0.0759817,0.997108,world,
1.73244e+09,2.33643e+08,2.14794,1.73755,-2.60519e-06,-0.000100529,-0.00118871,-0.0826197,0.99658,world,
1.73244e+09,3.33529e+08,2.14877,1.73744,-2.82467e-06,-0.000101949,-0.00119349,-0.0834381,0.996512,world,
1.73244e+09,4.34672e+08,2.15477,1.73656,-2.7209e-06,-0.000105866,-0.00119155,-0.0892577,0.996008,world,
1.73244e+09,5.33639e+08,2.15939,1.73587,1.76298e-06,-0.000111569,-0.00120569,-0.0910717,0.995844,world,
1.73244e+09,6.34628e+08,2.16172,1.73551,-2.93018e-06,-0.000109282,-0.00121365,-0.0910822,0.995843,world,
1.73244e+09,7.33997e+08,2.16852,1.73448,1.83722e-06,-0.000115483,-0.00124849,-0.0911043,0.995841,world,
1.73244e+09,8.33893e+08,2.17147,1.73404,-2.80378e-06,-0.000113755,-0.00127218,-0.091117,0.995839,world,
1.73244e+09,9.34809e+08,2.17532,1.73346,-2.76616e-06,-0.000109806,-0.00122641,-0.0911402,0.995837,world,
1.73244e+09,3.36532e+07,2.18233,1.7324,1.73995e-06,-0.000112569,-0.00121548,-0.0911661,0.995835,world,
1.73244e+09,1.34016e+08,2.18304,1.73229,-3.18165e-06,-0.000118266,-0.00125933,-0.0911663,0.995835,world,
1.73244e+09,2.33457e+08,2.18923,1.73136,1.84622e-06,-0.000116657,-0.00126007,-0.0911936,0.995832,world,
1.73244e+09,3.33966e+08,2.19278,1.73082,-2.65418e-06,-0.000107932,-0.00123542,-0.0912149,0.99583,world,
1.73244e+09,4.35001e+08,2.19624,1.7303,-3.45215e-06,-0.000121447,-0.00123846,-0.0912144,0.995831,world,
1.73244e+09,5.33693e+08,2.20294,1.72928,-2.93756e-06,-0.000111755,-0.00123612,-0.0912422,0.995828,world,
1.73244e+09,6.33938e+08,2.20425,1.72909,1.57072e-06,-0.000114193,-0.00123036,-0.0912542,0.995827,world,
1.73244e+09,7.34627e+08,2.20984,1.72824,-3.43731e-06,-0.000117589,-0.00124719,-0.0912742,0.995825,world,
1.73244e+09,8.3382e+08,2.21492,1.72747,-2.80139e-06,-0.000111265,-0.00124693,-0.0912919,0.995823,world,
1.73244e+09,9.34479e+08,2.21735,1.7271,-3.32805e-06,-0.000111939,-0.0012083,-0.0913033,0.995822,world,
1.73244e+09,3.44837e+07,2.22415,1.72607,1.87254e-06,-0.000118183,-0.00127496,-0.0913281,0.99582,world,
1.73244e+09,1.3386e+08,2.22689,1.72566,-2.94254e-06,-0.000113028,-0.00122902,-0.0913418,0.995819,world,
1.73244e+09,2.342e+08,2.23075,1.72507,-3.38892e-06,-0.000120163,-0.0012657,-0.0913568,0.995817,world,
1.73244e+09,3.33894e+08,2.23755,1.72404,1.61375e-06,-0.000112027,-0.00120662,-0.091385,0.995815,world,
1.73244e+09,4.341e+08,2.23806,1.72397,-2.91729e-06,-0.00011248,-0.0012076,-0.0913852,0.995815,world,
1.73244e+09,5.3405e+08,2.24466,1.72296,1.78319e-06,-0.000113245,-0.00121977,-0.0914116,0.995812,world,
1.73244e+09,6.34303e+08,2.24907,1.72225,-2.75544e-06,-0.000116491,-0.0011974,-0.0950902,0.995468,world,
1.73244e+09,7.345e+08,2.25145,1.72186,1.81452e-06,-0.000123925,-0.00125272,-0.0974389,0.995241,world,
1.73244e+09,8.34673e+08,2.25855,1.7206,-2.55501e-06,-0.000130637,-0.00122845,-0.104321,0.994543,world,
1.73244e+09,9.34078e+08,2.26009,1.72031,1.95516e-06,-0.000128309,-0.00119376,-0.105838,0.994383,world,
1.73244e+09,3.44557e+07,2.26534,1.7193,-4.27563e-06,-0.000143153,-0.00125083,-0.11097,0.993823,world,
1.73244e+09,1.33849e+08,2.27138,1.71807,1.81643e-06,-0.000147121,-0.00123831,-0.116863,0.993147,world,
1.73244e+09,2.34265e+08,2.27209,1.71792,-3.05975e-06,-0.000145027,-0.00120202,-0.11756,0.993065,world,
1.73244e+09,3.34457e+08,2.27904,1.7164,-2.49297e-06,-0.000154277,-0.00124231,-0.124378,0.992234,world,
1.73244e+09,4.33728e+08,2.28241,1.71563,1.84556e-06,-0.000161058,-0.00124113,-0.127681,0.991815,world,
1.73244e+09,5.34793e+08,2.28577,1.71483,-2.73179e-06,-0.000165814,-0.00126372,-0.130966,0.991386,world,
1.73244e+09,6.34821e+08,2.29277,1.71309,2.04035e-06,-0.000166432,-0.0011871,-0.137832,0.990455,world,
1.73244e+09,7.34455e+08,2.29378,1.71283,1.89058e-06,-0.000173007,-0.00122482,-0.13885,0.990313,world,
1.73244e+09,8.34832e+08,2.29985,1.71123,1.9074e-06,-0.000174686,-0.00118485,-0.144816,0.989458,world,
1.73244e+09,9.3352e+08,2.30409,1.71007,1.84215e-06,-0.000188925,-0.00124519,-0.149007,0.988835,world,
1.73244e+09,3.43313e+07,2.30691,1.70927,1.90183e-06,-0.000183905,-0.00118932,-0.151779,0.988414,world,
1.73244e+09,1.33579e+08,2.31433,1.7071,1.69239e-06,-0.000200738,-0.00123622,-0.159143,0.987255,world,
1.73244e+09,2.33673e+08,2.31513,1.70686,1.97209e-06,-0.000197257,-0.00120955,-0.159939,0.987126,world,
1.73244e+09,3.34595e+08,2.32103,1.70505,-3.38056e-06,-0.000207355,-0.00120595,-0.16584,0.986152,world,
